# 42 fine goods -> 16 headline parents (H01..H16, see goods table labels)
good,COM
A01_men_16plus,H09
A02_boys_2_15,H09
A03_women_16plus,H09
A04_girls_2_15,H09
A05_footwear,H09
A06_children_under2,H09
A07_other_apparel_svcs,H09
F01_cereal,H01
F02_bakery,H01
F03_beef,H01
F04_pork,H01
F05_other_meat,H01
F06_poultry,H01
F07_seafood,H01
F08_eggs,H01
F09_milk,H01
F10_other_dairy,H01
F11_fresh_fruit,H01
F12_fresh_veg,H01
F13_proc_fruit,H01
F14_proc_veg,H01
F15_sweets,H01
F16_nonalc_bev,H01
F17_fats_oils,H01
F18_misc_food,H01
H02_food_away,H02
H03_housing,H03
H04_electricity,H04
H05_other_energy_water,H05
H06_communication,H06
H07_hh_operations,H07
H08_furnishings,H08
H10_vehicle_purchases,H10
H11_motor_fuels,H11
H12_vehicle_op_transit,H12
H13_health_oop,H13
H14_health_insurance,H14
H16_other_goods_svcs,H16
R01_fees_admissions,H15
R02_audio_visual,H15
R03_pets_toys_hobbies,H15
R04_other_recreation,H15
