# 42 goods -> FOOD / NONFOOD
good,COM
A01_men_16plus,NONFOOD
A02_boys_2_15,NONFOOD
A03_women_16plus,NONFOOD
A04_girls_2_15,NONFOOD
A05_footwear,NONFOOD
A06_children_under2,NONFOOD
A07_other_apparel_svcs,NONFOOD
F01_cereal,FOOD
F02_bakery,FOOD
F03_beef,FOOD
F04_pork,FOOD
F05_other_meat,FOOD
F06_poultry,FOOD
F07_seafood,FOOD
F08_eggs,FOOD
F09_milk,FOOD
F10_other_dairy,FOOD
F11_fresh_fruit,FOOD
F12_fresh_veg,FOOD
F13_proc_fruit,FOOD
F14_proc_veg,FOOD
F15_sweets,FOOD
F16_nonalc_bev,FOOD
F17_fats_oils,FOOD
F18_misc_food,FOOD
H02_food_away,FOOD
H03_housing,NONFOOD
H04_electricity,NONFOOD
H05_other_energy_water,NONFOOD
H06_communication,NONFOOD
H07_hh_operations,NONFOOD
H08_furnishings,NONFOOD
H10_vehicle_purchases,NONFOOD
H11_motor_fuels,NONFOOD
H12_vehicle_op_transit,NONFOOD
H13_health_oop,NONFOOD
H14_health_insurance,NONFOOD
H16_other_goods_svcs,NONFOOD
R01_fees_admissions,NONFOOD
R02_audio_visual,NONFOOD
R03_pets_toys_hobbies,NONFOOD
R04_other_recreation,NONFOOD
