# map each native good (42) to your model commodity; labels [A-Za-z][A-Za-z0-9_]*, max 12 chars
good,COM
A01_men_16plus,TODO
A02_boys_2_15,TODO
A03_women_16plus,TODO
A04_girls_2_15,TODO
A05_footwear,TODO
A06_children_under2,TODO
A07_other_apparel_svcs,TODO
F01_cereal,TODO
F02_bakery,TODO
F03_beef,TODO
F04_pork,TODO
F05_other_meat,TODO
F06_poultry,TODO
F07_seafood,TODO
F08_eggs,TODO
F09_milk,TODO
F10_other_dairy,TODO
F11_fresh_fruit,TODO
F12_fresh_veg,TODO
F13_proc_fruit,TODO
F14_proc_veg,TODO
F15_sweets,TODO
F16_nonalc_bev,TODO
F17_fats_oils,TODO
F18_misc_food,TODO
H02_food_away,TODO
H03_housing,TODO
H04_electricity,TODO
H05_other_energy_water,TODO
H06_communication,TODO
H07_hh_operations,TODO
H08_furnishings,TODO
H10_vehicle_purchases,TODO
H11_motor_fuels,TODO
H12_vehicle_op_transit,TODO
H13_health_oop,TODO
H14_health_insurance,TODO
H16_other_goods_svcs,TODO
R01_fees_admissions,TODO
R02_audio_visual,TODO
R03_pets_toys_hobbies,TODO
R04_other_recreation,TODO
