# joint: 5 quintiles x 3 age bands
decile,age,HH
1,1,Q1_Young
2,1,Q1_Young
3,1,Q2_Young
4,1,Q2_Young
5,1,Q3_Young
6,1,Q3_Young
7,1,Q4_Young
8,1,Q4_Young
9,1,Q5_Young
10,1,Q5_Young
1,2,Q1_Midlife
2,2,Q1_Midlife
3,2,Q2_Midlife
4,2,Q2_Midlife
5,2,Q3_Midlife
6,2,Q3_Midlife
7,2,Q4_Midlife
8,2,Q4_Midlife
9,2,Q5_Midlife
10,2,Q5_Midlife
1,3,Q1_Midlife
2,3,Q1_Midlife
3,3,Q2_Midlife
4,3,Q2_Midlife
5,3,Q3_Midlife
6,3,Q3_Midlife
7,3,Q4_Midlife
8,3,Q4_Midlife
9,3,Q5_Midlife
10,3,Q5_Midlife
1,4,Q1_Senior
2,4,Q1_Senior
3,4,Q2_Senior
4,4,Q2_Senior
5,4,Q3_Senior
6,4,Q3_Senior
7,4,Q4_Senior
8,4,Q4_Senior
9,4,Q5_Senior
10,4,Q5_Senior
1,5,Q1_Senior
2,5,Q1_Senior
3,5,Q2_Senior
4,5,Q2_Senior
5,5,Q3_Senior
6,5,Q3_Senior
7,5,Q4_Senior
8,5,Q4_Senior
9,5,Q5_Senior
10,5,Q5_Senior
