# claims fam -> composes v0.8 at call time (see README caveats); F1..F6 = 1, 2, 3, 4, 5, 6
decile,age,fam,HH
1,1,1,Q1_F1
2,1,1,Q1_F1
3,1,1,Q2_F1
4,1,1,Q2_F1
5,1,1,Q3_F1
6,1,1,Q3_F1
7,1,1,Q4_F1
8,1,1,Q4_F1
9,1,1,Q5_F1
10,1,1,Q5_F1
1,2,1,Q1_F1
2,2,1,Q1_F1
3,2,1,Q2_F1
4,2,1,Q2_F1
5,2,1,Q3_F1
6,2,1,Q3_F1
7,2,1,Q4_F1
8,2,1,Q4_F1
9,2,1,Q5_F1
10,2,1,Q5_F1
1,3,1,Q1_F1
2,3,1,Q1_F1
3,3,1,Q2_F1
4,3,1,Q2_F1
5,3,1,Q3_F1
6,3,1,Q3_F1
7,3,1,Q4_F1
8,3,1,Q4_F1
9,3,1,Q5_F1
10,3,1,Q5_F1
1,4,1,Q1_F1
2,4,1,Q1_F1
3,4,1,Q2_F1
4,4,1,Q2_F1
5,4,1,Q3_F1
6,4,1,Q3_F1
7,4,1,Q4_F1
8,4,1,Q4_F1
9,4,1,Q5_F1
10,4,1,Q5_F1
1,5,1,Q1_F1
2,5,1,Q1_F1
3,5,1,Q2_F1
4,5,1,Q2_F1
5,5,1,Q3_F1
6,5,1,Q3_F1
7,5,1,Q4_F1
8,5,1,Q4_F1
9,5,1,Q5_F1
10,5,1,Q5_F1
1,1,2,Q1_F2
2,1,2,Q1_F2
3,1,2,Q2_F2
4,1,2,Q2_F2
5,1,2,Q3_F2
6,1,2,Q3_F2
7,1,2,Q4_F2
8,1,2,Q4_F2
9,1,2,Q5_F2
10,1,2,Q5_F2
1,2,2,Q1_F2
2,2,2,Q1_F2
3,2,2,Q2_F2
4,2,2,Q2_F2
5,2,2,Q3_F2
6,2,2,Q3_F2
7,2,2,Q4_F2
8,2,2,Q4_F2
9,2,2,Q5_F2
10,2,2,Q5_F2
1,3,2,Q1_F2
2,3,2,Q1_F2
3,3,2,Q2_F2
4,3,2,Q2_F2
5,3,2,Q3_F2
6,3,2,Q3_F2
7,3,2,Q4_F2
8,3,2,Q4_F2
9,3,2,Q5_F2
10,3,2,Q5_F2
1,4,2,Q1_F2
2,4,2,Q1_F2
3,4,2,Q2_F2
4,4,2,Q2_F2
5,4,2,Q3_F2
6,4,2,Q3_F2
7,4,2,Q4_F2
8,4,2,Q4_F2
9,4,2,Q5_F2
10,4,2,Q5_F2
1,5,2,Q1_F2
2,5,2,Q1_F2
3,5,2,Q2_F2
4,5,2,Q2_F2
5,5,2,Q3_F2
6,5,2,Q3_F2
7,5,2,Q4_F2
8,5,2,Q4_F2
9,5,2,Q5_F2
10,5,2,Q5_F2
1,1,3,Q1_F3
2,1,3,Q1_F3
3,1,3,Q2_F3
4,1,3,Q2_F3
5,1,3,Q3_F3
6,1,3,Q3_F3
7,1,3,Q4_F3
8,1,3,Q4_F3
9,1,3,Q5_F3
10,1,3,Q5_F3
1,2,3,Q1_F3
2,2,3,Q1_F3
3,2,3,Q2_F3
4,2,3,Q2_F3
5,2,3,Q3_F3
6,2,3,Q3_F3
7,2,3,Q4_F3
8,2,3,Q4_F3
9,2,3,Q5_F3
10,2,3,Q5_F3
1,3,3,Q1_F3
2,3,3,Q1_F3
3,3,3,Q2_F3
4,3,3,Q2_F3
5,3,3,Q3_F3
6,3,3,Q3_F3
7,3,3,Q4_F3
8,3,3,Q4_F3
9,3,3,Q5_F3
10,3,3,Q5_F3
1,4,3,Q1_F3
2,4,3,Q1_F3
3,4,3,Q2_F3
4,4,3,Q2_F3
5,4,3,Q3_F3
6,4,3,Q3_F3
7,4,3,Q4_F3
8,4,3,Q4_F3
9,4,3,Q5_F3
10,4,3,Q5_F3
1,5,3,Q1_F3
2,5,3,Q1_F3
3,5,3,Q2_F3
4,5,3,Q2_F3
5,5,3,Q3_F3
6,5,3,Q3_F3
7,5,3,Q4_F3
8,5,3,Q4_F3
9,5,3,Q5_F3
10,5,3,Q5_F3
1,1,4,Q1_F4
2,1,4,Q1_F4
3,1,4,Q2_F4
4,1,4,Q2_F4
5,1,4,Q3_F4
6,1,4,Q3_F4
7,1,4,Q4_F4
8,1,4,Q4_F4
9,1,4,Q5_F4
10,1,4,Q5_F4
1,2,4,Q1_F4
2,2,4,Q1_F4
3,2,4,Q2_F4
4,2,4,Q2_F4
5,2,4,Q3_F4
6,2,4,Q3_F4
7,2,4,Q4_F4
8,2,4,Q4_F4
9,2,4,Q5_F4
10,2,4,Q5_F4
1,3,4,Q1_F4
2,3,4,Q1_F4
3,3,4,Q2_F4
4,3,4,Q2_F4
5,3,4,Q3_F4
6,3,4,Q3_F4
7,3,4,Q4_F4
8,3,4,Q4_F4
9,3,4,Q5_F4
10,3,4,Q5_F4
1,4,4,Q1_F4
2,4,4,Q1_F4
3,4,4,Q2_F4
4,4,4,Q2_F4
5,4,4,Q3_F4
6,4,4,Q3_F4
7,4,4,Q4_F4
8,4,4,Q4_F4
9,4,4,Q5_F4
10,4,4,Q5_F4
1,5,4,Q1_F4
2,5,4,Q1_F4
3,5,4,Q2_F4
4,5,4,Q2_F4
5,5,4,Q3_F4
6,5,4,Q3_F4
7,5,4,Q4_F4
8,5,4,Q4_F4
9,5,4,Q5_F4
10,5,4,Q5_F4
1,1,5,Q1_F5
2,1,5,Q1_F5
3,1,5,Q2_F5
4,1,5,Q2_F5
5,1,5,Q3_F5
6,1,5,Q3_F5
7,1,5,Q4_F5
8,1,5,Q4_F5
9,1,5,Q5_F5
10,1,5,Q5_F5
1,2,5,Q1_F5
2,2,5,Q1_F5
3,2,5,Q2_F5
4,2,5,Q2_F5
5,2,5,Q3_F5
6,2,5,Q3_F5
7,2,5,Q4_F5
8,2,5,Q4_F5
9,2,5,Q5_F5
10,2,5,Q5_F5
1,3,5,Q1_F5
2,3,5,Q1_F5
3,3,5,Q2_F5
4,3,5,Q2_F5
5,3,5,Q3_F5
6,3,5,Q3_F5
7,3,5,Q4_F5
8,3,5,Q4_F5
9,3,5,Q5_F5
10,3,5,Q5_F5
1,4,5,Q1_F5
2,4,5,Q1_F5
3,4,5,Q2_F5
4,4,5,Q2_F5
5,4,5,Q3_F5
6,4,5,Q3_F5
7,4,5,Q4_F5
8,4,5,Q4_F5
9,4,5,Q5_F5
10,4,5,Q5_F5
1,5,5,Q1_F5
2,5,5,Q1_F5
3,5,5,Q2_F5
4,5,5,Q2_F5
5,5,5,Q3_F5
6,5,5,Q3_F5
7,5,5,Q4_F5
8,5,5,Q4_F5
9,5,5,Q5_F5
10,5,5,Q5_F5
1,1,6,Q1_F6
2,1,6,Q1_F6
3,1,6,Q2_F6
4,1,6,Q2_F6
5,1,6,Q3_F6
6,1,6,Q3_F6
7,1,6,Q4_F6
8,1,6,Q4_F6
9,1,6,Q5_F6
10,1,6,Q5_F6
1,2,6,Q1_F6
2,2,6,Q1_F6
3,2,6,Q2_F6
4,2,6,Q2_F6
5,2,6,Q3_F6
6,2,6,Q3_F6
7,2,6,Q4_F6
8,2,6,Q4_F6
9,2,6,Q5_F6
10,2,6,Q5_F6
1,3,6,Q1_F6
2,3,6,Q1_F6
3,3,6,Q2_F6
4,3,6,Q2_F6
5,3,6,Q3_F6
6,3,6,Q3_F6
7,3,6,Q4_F6
8,3,6,Q4_F6
9,3,6,Q5_F6
10,3,6,Q5_F6
1,4,6,Q1_F6
2,4,6,Q1_F6
3,4,6,Q2_F6
4,4,6,Q2_F6
5,4,6,Q3_F6
6,4,6,Q3_F6
7,4,6,Q4_F6
8,4,6,Q4_F6
9,4,6,Q5_F6
10,4,6,Q5_F6
1,5,6,Q1_F6
2,5,6,Q1_F6
3,5,6,Q2_F6
4,5,6,Q2_F6
5,5,6,Q3_F6
6,5,6,Q3_F6
7,5,6,Q4_F6
8,5,6,Q4_F6
9,5,6,Q5_F6
10,5,6,Q5_F6
