# map each decile x age cell to your household type; may also claim state and/or fam
decile,age,HH
1,1,TODO
2,1,TODO
3,1,TODO
4,1,TODO
5,1,TODO
6,1,TODO
7,1,TODO
8,1,TODO
9,1,TODO
10,1,TODO
1,2,TODO
2,2,TODO
3,2,TODO
4,2,TODO
5,2,TODO
6,2,TODO
7,2,TODO
8,2,TODO
9,2,TODO
10,2,TODO
1,3,TODO
2,3,TODO
3,3,TODO
4,3,TODO
5,3,TODO
6,3,TODO
7,3,TODO
8,3,TODO
9,3,TODO
10,3,TODO
1,4,TODO
2,4,TODO
3,4,TODO
4,4,TODO
5,4,TODO
6,4,TODO
7,4,TODO
8,4,TODO
9,4,TODO
10,4,TODO
1,5,TODO
2,5,TODO
3,5,TODO
4,5,TODO
5,5,TODO
6,5,TODO
7,5,TODO
8,5,TODO
9,5,TODO
10,5,TODO
